iter	Passed	Remaining
0	123	123714
1	133	66456
2	141	46874
3	148	37041
4	156	31131
5	163	27143
6	170	24158
7	177	22027
8	185	20439
9	193	19121
10	200	18036
11	208	17130
12	215	16341
13	222	15679
14	230	15120
15	237	14633
16	245	14217
17	253	13834
18	261	13477
19	268	13156
20	275	12861
21	283	12615
22	291	12384
23	299	12179
24	307	11983
25	315	11806
26	322	11632
27	330	11458
28	337	11305
29	345	11157
30	353	11039
31	360	10901
32	368	10786
33	375	10671
34	380	10500
35	388	10406
36	396	10314
37	403	10216
38	411	10128
39	419	10057
40	427	9988
41	434	9918
42	442	9843
43	450	9779
44	456	9696
45	466	9682
46	475	9648
47	483	9596
48	492	9562
49	500	9500
50	509	9473
51	516	9421
52	525	9390
53	531	9311
54	539	9274
55	547	9237
56	556	9212
57	564	9175
58	573	9154
59	581	9110
60	591	9099
61	599	9067
62	608	9043
63	616	9013
64	623	8972
65	631	8936
66	638	8896
67	646	8862
68	654	8832
69	662	8806
70	671	8781
71	679	8756
72	687	8728
73	695	8701
74	703	8676
75	711	8647
76	719	8622
77	727	8597
78	740	8630
79	748	8613
80	756	8579
81	765	8568
82	772	8535
83	781	8518
84	788	8488
85	797	8473
86	805	8448
87	814	8436
88	821	8411
89	830	8395
90	837	8367
91	846	8351
92	854	8329
93	862	8311
94	871	8298
95	878	8275
96	886	8251
97	894	8230
98	902	8212
99	910	8194
100	918	8171
101	926	8154
102	933	8128
103	942	8116
104	949	8093
105	958	8080
106	965	8054
107	973	8038
108	980	8014
109	989	8006
110	996	7981
111	1004	7966
112	1011	7941
113	1020	7929
114	1027	7907
115	1035	7894
116	1043	7872
117	1052	7863
118	1058	7838
119	1066	7823
120	1073	7800
121	1081	7784
122	1088	7762
123	1096	7746
124	1105	7735
125	1113	7724
126	1121	7708
127	1130	7698
128	1137	7681
129	1145	7665
130	1153	7649
131	1160	7633
132	1168	7617
133	1176	7605
134	1184	7587
135	1191	7570
136	1199	7557
137	1206	7539
138	1215	7528
139	1223	7514
140	1231	7503
141	1239	7490
142	1248	7480
143	1255	7464
144	1263	7447
145	1270	7433
146	1278	7420
147	1285	7402
148	1294	7390
149	1301	7374
150	1308	7356
151	1316	7343
152	1323	7329
153	1331	7315
154	1339	7300
155	1346	7284
156	1353	7269
157	1361	7254
158	1368	7240
159	1376	7224
160	1383	7208
161	1390	7191
162	1397	7177
163	1405	7164
164	1412	7150
165	1420	7137
166	1428	7124
167	1435	7111
168	1443	7098
169	1451	7084
170	1459	7073
171	1465	7054
172	1473	7041
173	1480	7028
174	1488	7015
175	1495	7003
176	1503	6990
177	1510	6973
178	1517	6958
179	1524	6945
180	1532	6935
181	1540	6922
182	1547	6910
183	1555	6898
184	1562	6885
185	1570	6872
186	1577	6860
187	1585	6846
188	1592	6834
189	1600	6823
190	1608	6812
191	1616	6801
192	1624	6790
193	1631	6779
194	1639	6766
195	1647	6756
196	1654	6745
197	1662	6732
198	1669	6721
199	1678	6712
200	1685	6700
201	1693	6689
202	1700	6676
203	1708	6665
204	1715	6652
205	1722	6640
206	1730	6628
207	1737	6617
208	1745	6606
209	1753	6594
210	1760	6582
211	1767	6569
212	1775	6558
213	1782	6546
214	1790	6535
215	1797	6523
216	1804	6511
217	1812	6500
218	1819	6488
