Attendance,Coding_Score,DSA_Score,Aptitude,Communication,Projects,Internships,CGPA,Placement_Status
80,34,23,55,51,1,1,8.68,Placed
83,89,31,95,74,0,0,5.47,Placed
54,84,97,23,91,1,3,6.1,Placed
77,55,20,40,74,2,2,5.78,Placed
88,63,33,31,68,0,2,9.24,Placed
78,53,25,78,88,0,3,5.39,Placed
58,100,99,66,93,1,0,5.23,Placed
54,57,30,49,32,3,2,7.27,Placed
93,66,40,67,65,1,2,8.51,Placed
83,29,97,41,88,5,1,5.82,Placed
64,54,91,48,61,0,1,9.11,Placed
91,60,71,54,28,1,2,6.06,Placed
71,70,78,38,53,1,1,8.72,Placed
74,53,94,74,94,3,2,6.1,Placed
48,85,83,31,26,0,1,8.14,Placed
90,74,96,28,69,3,3,7.65,Placed
75,21,34,88,54,5,2,5.56,Placed
67,40,78,20,53,4,1,7.54,Placed
46,100,58,84,97,1,1,6.87,Placed
50,89,87,20,96,2,3,5.1,Placed
99,66,59,50,27,1,0,5.43,Placed
71,28,88,36,36,5,3,9.73,Placed
50,53,87,97,74,1,1,8.56,Placed
65,67,76,86,77,0,1,6.12,Placed
61,22,95,90,49,4,1,5.04,Placed
85,100,27,49,28,0,2,5.35,Placed
55,55,82,47,89,1,3,6.21,Placed
70,72,44,32,32,5,3,6.77,Placed
66,79,26,32,27,3,2,9.0,Placed
46,51,44,44,88,3,1,7.11,Placed
57,79,51,29,76,4,0,5.25,Placed
74,21,31,50,41,3,3,7.41,Placed
95,71,27,41,68,0,3,6.33,Placed
90,78,56,74,91,5,3,5.77,Placed
58,47,27,94,89,0,2,5.29,Placed
77,81,84,87,40,0,0,9.26,Placed
44,96,28,50,71,0,1,7.89,Placed
42,99,30,73,94,4,2,9.67,Placed
53,60,50,53,70,1,2,7.29,Placed
99,29,21,78,99,4,0,5.37,Placed
53,84,53,36,64,0,1,6.85,Placed
50,76,89,58,98,5,0,8.34,Placed
75,58,33,37,53,0,0,8.71,Placed
49,54,56,97,46,5,2,6.02,Placed
80,53,84,82,52,0,0,8.17,Placed
93,55,25,20,62,1,2,5.81,Placed
68,90,74,91,21,0,0,9.73,Placed
84,39,89,24,67,4,1,7.15,Placed
42,59,66,25,65,1,1,8.33,Placed
62,91,72,99,39,1,1,9.88,Placed
91,42,72,23,42,5,2,8.91,Placed
66,51,54,40,33,3,0,9.29,Placed
54,45,78,64,59,1,1,5.12,Placed
52,71,62,55,28,2,2,8.21,Placed
65,88,62,23,34,2,1,7.9,Placed
56,24,33,96,75,2,2,7.18,Placed
72,34,69,93,44,2,0,8.54,Placed
40,86,88,45,66,3,0,9.74,Placed
98,62,99,60,35,5,2,7.54,Placed
82,72,61,71,57,4,1,5.96,Placed
82,68,42,98,92,2,3,7.74,Placed
40,58,56,46,75,4,2,7.32,Placed
68,47,85,80,41,5,0,6.42,Placed
82,99,62,31,50,5,2,6.12,Placed
52,38,23,25,51,3,0,7.28,Placed
96,100,93,44,69,3,3,6.22,Placed
81,20,33,74,48,1,3,5.25,Placed
55,35,78,37,79,5,2,9.75,Placed
